"Review" "Review_rating"
"Excellent car. The price is the best. Comfortable drive and seating. Internet car. AC is the best. Safety car. Engine is smooth and the sound is smooth. I have driven this car. Ground clearance is best and height is better. Car facilities are best. Comfortable drive as compared to other cars.
Read More" 5
"Looking very classy and luxury. Leg space is pretty good. Very comfortable while driving.
" 5
"It is a very good car in my life I have ever seen so, brilliant work by MG company and also for the internet inside.
" 5
"The superb car, Drive is amazing and also that car has a voice commands so it gives very good feel when we drive. 
" 5
"MG Hector is the most luxurious car in the Indian market at the cheapest price. The showrooms of MG are very nice and the service of this car is quite good. Love you MG.
" 5
"This car is awesome with great features. I love this car and the looks of the car. The interior is very clean and attractive. Excellent performance, awesome, and a lovely car. I have a Honda City as well. But I sold that car because of the performance and bought Hector and I feel so glad and excited when I drive Hector.
Read More" 5
"Hector is a nice SUV. I have experienced a wonderful feeling by seating or driving this SUV car. It is a very comfortable car. I think that its speed is more than kia seltos. Its music system is also better than the other cars which is in Hector's range. I will recommend everyone to buy this wonderful SUV car.
Read More" 5
"MG Hector has got best design and comfort, car is just a boom but smooth as butter, performance of engine is awesome, you will feel like you are sitting in a plane in business class, MG hector has all the feature of top-class car and very satisfying especially on Indian roads Hector performed very effectively, Ground clearance is best in class, And...Read More" 5
"From the day I saw this beast MG Hector which catches my heart and soul, Since the first time I grabbed it in my hands I felt like this is it, its all I ever wanted. Really inside of the car and the exterior looks awesome and the comfort is just to a next level of imagination for Indians, its hello MG internet feature takes the car industry of medi...Read More" 5
"Good mileage and best-running condition, power brakes, and best safety features and the body height is nice.
" 5
"Hector is a great car, best handling, and torque I have ever experienced. AIl functions work good and the car generates ultimate power.
" 5
"Good car, the look is beautiful, sunroof is good, the functions in the car are very good.
" 5
"MG Hector is a superb car, best in power, you feel the real luxury in this car. Five stars for this lovely beast. It's a luxurious powerful vehicle. 
" 5
"Nice and best car ever. Nice features at a very affordable price, beautiful interior and classic exterior.
" 5
"Good Looking and best in the segment. The company is based in China and the UK basically. Talking about build quality & crash test rating, Let me tell you that, it got 5 stars in the China NCAP crash test. It offers many features at this price range. It Strongly competes with Tata Harier & KIA Seltos.
Read More" 3
"Review" "Review_rating"
"The cabin of MG Hector wears a more functional design, but there are some interesting bits like the shapely digital instrument cluster and the unconventional gear lever, which add a smattering of flair. The large digital speedo is easy to read, but the tachometer isn't. As if to make the point that this is not a sporty car, the rev tacho bar graph ...Read More" 5
"MG Hector has an eye-catching design, massive proportions and new-age tech make it a well-rounded package that should definitely be on the radar of prospective mid-size SUV owners. Though truly a rival for the Tata Harrier, Mahindra XUV500 and Jeep Compass in terms of its sheer size, keen pricing has also placed it precariously close to the likes o...Read More" 5
"When we board into this vehicle MG Hector you will feel like you are sitting in a car which is too much of a premium car that costs 40 lakhs, though its a Chinese car it doesn't look like it, MG need to improve its service points at the earliest.
Read More" 4
"One of the best car in the market currently. Yes MG Hector is everything that a customer can wish for. It uses the best engines, it has the best infotainment, best speakers, best aesthetic looks, imposing front grille, biggest sunroof, largest boot, best AI, most comfortable seating and what not. You ask for a feature and its there. This also happe...Read More" 5
"MG Hector is an amazing car. This is a stylish car. All the cars of MG are amazing. MG Hector is one of the best cars. No other car can be compared with this car. Interior and the features of the car are amazing. It is a luxurious car. It is my dream car. Middle-class family can afford this car.
Read More" 5
"MG Hector is the best in the class car, awesome looks with great luxury feature especially the 360 view camera and the full sunroof. 
" 5
"MG Hector is a nice car, nice interior and all variant are superb, superb design, interior, safety system, the average is nice, good for the long route. A complete car, adequate seating for 4-5 persons, this is best for a small family.
Read More" 5
"MG Hector is an excellent car. Features are also excellent. Everything is good in this car, power, voice control, just like an Audi or BMW.
" 5
"Mg Hector feeling is like a luxurious car and a very costly car. Feels like Fortuner. Its \"hello mg\" feature helps a lot while driving.
" 5
"MG Hector has got stunning looks and features makes it the best car and the lighting styling and sunroof add to the marvel.
" 5
"MG Hector is an amazing car It is as good as an Audi Q7 the most attractive is the technology in this car and for me the sunroof and moonroof. The car is spacious the trunk is also huge and the price is also not that high, features are also amazing also the logo of the car is very attractive and design also not to forget the headlights and the tail...Read More" 5
"MG hector one of the best competitor in SUV segment cars. IN MG hector all the feature are top class and very satisfying especially in Indian roads hector performed very effectively, Ground clearance is best in class.
Read More" 5
"Done 2 months with MG Hector. Loved each moment I drove it. Somehow managed to get over 10 Kmpl avg after 2000km on Petrol DCT Automatic driving in Delhi NCR. If anything that could have been better, I wish suspensions were as good as those of Jeep Compass. Nevertheless, better suspensions than many others in the segment.
Read More" 5
"MG Hector is my dream car. It is a very good looking car. It has a beautiful look rather than others. Its interior is very beautiful and looks like a luxury car from the interior. It has also the best build quality. It is best for running on Indian roads. It's a very beautiful SUV car. It can defeat the craze of Scorpio as it has many features than...Read More" 5
"MG Hector is the best car in SUV because of its features and functions and its good look This is the car which hits and left all car behind by its selling point of view. I am a lover of this car too much.
Read More" 5
"Very stable and secure car from one of the leading SUV's MG Hector, Great design and interior implementation gives them an excellent look. Its 1965 cc engine creates a lightning power for an average of about 15-16 kmpl. Its a very good family pack for all those things and maintains an economic range. Go for it if you buy in this price segment witho...Read More" 5
"Dreaming a lot to buy a car and searching which to buy, finally seen MG Hector fallen in love with the car, the MG pick-up is awesome with 2 persons, slightly slow with 5 to 6 members and once the engine turned off on the road while driving, I got tension and found the problem is in the fuel change, overall superb car ever bought this is my first c...Read More" 5
"The Hector looks the business, no two ways about it. The imposing hexagonal grille, the heavy chrome lining, and black detailing interspersed within the split LED headlamps, with their main units tucked into a recess, all make for a car that grabs your attention immediately, and holds on to it. For anyone wondering if these units are more prone to ...Read More" 5
"Hector has an exclusive price and the best quality. This is a very good feature car because this car has internet and voice command.
" 5
"This is an excellent car in the segment. The mileage is impressive. 
" 5
"I own a petrol hybrid MG Hector and the experience has been amazing to date. Have completed 2k kms. 1. The engine : sufficient power for this sized car. I initially thought the power to weight ratio would be evident when it comes to pulling the car, but I haven't experienced lack of power in most scenarios. The noise and vibrations are so low that ...Read More" 5
"I bought the MG Hector Super Diesel MT after going through the specs and features. The fuel efficiency of the car is very good. The car is very spacious and comfortable for long journeys.
Read More" 5
"It is an amazing experience with MG Hector and it's German-based company, powerful engine and mileage are good. Interior is designed in both metal and wood so good looking and main informing touching display is awesome and the voice commanding is enabled so easy to use this car and many colours are there. In the top, there is a sunroof And in front...Read More" 5
"I have been driving MG Hector, Petrol, DCT Car for the last 3 months. I am thoroughly disappointed with fuel efficiency. City driving is between 5 to 6 km which is nowhere near the declared fuel efficiency of 13+ km. Highway driving FE is not more than 9kms. Moreover, there is a lag in DCT when you accelerate. VW TSI is the best in automatic transm...Read More" 3
"MG Hector is a good car with a new attractive design, nice work on the headlamps at the back. But even making simplest of the task such as adjusting the fan speed by use of the touch screen or voice command is quite difficult to get used to, moreover, the voice command is not responsive at all times. A nice new concept car overall.
Read More" 4
